identity_id,lipid_name,nearest_neighbor_identity,nearest_neighbor_cosine_full,nearest_neighbor_cosine_reduced,nearest_neighbor_identity_reduced,full_neighbor_matched_cosine_reduced,nearest_full_tie,nearest_reduced_tie,top5_neighbor_identities,top5_cosines_full,top5_cosines_reduced,top5_neighbor_identities_reduced,same_class_nearest_cosine,cross_class_nearest_cosine,shared_fragment_count,shared_fragment_fraction,sharing_unit,reduced_definition,verified_fragment_labels
0,PA 16:0_24:0,PA 18:0_22:0,0.4417017272471361,0.566567668889479,PA 18:0_22:0,0.566567668889479,False,False,"[""PA 18:0_22:0"", ""PA 16:0_24:5"", ""PA 16:0_24:4"", ""PA 16:0_24:1"", ""PA 24:0_16:1""]","[0.4417017272471361, 0.4097195543562844, 0.40429576706873865, 0.36168033413301154, 0.31601721496406887]","[0.566567668889479, 0.4346460821807465, 0.43005380959558587, 0.4043822126174044, 0.38079966129846055]","[""PA 18:0_22:0"", ""PA 24:0_16:1"", ""PE O-16:1_24:0"", ""PA 20:0_20:0"", ""PA 24:0_18:1""]",0.4417017272471361,0.30291511913551517,8,0.06451612903225806,"observed channels, physical fragment envelopes only",full library molecular channel occupancy inverse square-root weight,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
1,PA 16:0_24:1,PA 16:0_24:5,0.6654546118919499,0.47062680026244996,PA 18:1_24:1,0.3999104635434075,False,False,"[""PA 16:0_24:5"", ""PA 16:0_24:4"", ""PC 16:0_16:0"", ""PS 16:0_20:1"", ""PS 16:0_18:1""]","[0.6654546118919499, 0.6638021981191349, 0.6175363953253018, 0.43442038929084326, 0.38986558178124076]","[0.47062680026244996, 0.4692291455214904, 0.45766457456381227, 0.44489448499772133, 0.4396489037697247]","[""PA 18:1_24:1"", ""PE O-16:1_24:1"", ""PA 18:0_22:1"", ""PA 18:0_24:1"", ""PA 24:1_18:2""]",0.6654546118919499,0.6175363953253018,32,0.34408602150537637,"observed channels, physical fragment envelopes only",full library molecular channel occupancy inverse square-root weight,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
2,PA 16:0_24:4,PA 16:0_24:5,0.9158818220879426,0.7345368690682221,PA 16:0_24:5,0.7345368690682221,False,False,"[""PA 16:0_24:5"", ""PC 16:0_16:0"", ""PA 16:0_24:1"", ""PS 16:0_20:1"", ""PS 16:0_18:1""]","[0.9158818220879426, 0.7161784380540721, 0.6638021981191349, 0.6562731092947875, 0.5930022663295285]","[0.7345368690682221, 0.6011863228417162, 0.5259831701110685, 0.4761952848859946, 0.46920976554190724]","[""PA 16:0_24:5"", ""PE 16:0_24:4"", ""PS 16:0_20:1"", ""PE O-16:1_24:4"", ""PA 18:1_24:4""]",0.9158818220879426,0.7161784380540721,55,0.6179775280898876,"observed channels, physical fragment envelopes only",full library molecular channel occupancy inverse square-root weight,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_fragment_co2"", ""sn2_ketene_loss"", ""sn2_loss""]"
3,PA 16:0_24:5,PA 16:0_24:4,0.9158818220879426,0.7345368690682221,PA 16:0_24:4,0.7345368690682221,False,False,"[""PA 16:0_24:4"", ""PC 16:0_16:0"", ""PA 16:0_24:1"", ""PS 16:0_20:1"", ""PS 16:0_18:1""]","[0.9158818220879426, 0.7091394528902606, 0.6654546118919499, 0.6641534926990758, 0.6004958313112825]","[0.7345368690682221, 0.6231665388627006, 0.5458675347624925, 0.5067282105022578, 0.48647437776998825]","[""PA 16:0_24:4"", ""PE 16:0_24:5"", ""PE O-16:1_24:5"", ""PS 16:0_20:1"", ""PA 18:1_24:5""]",0.9158818220879426,0.7091394528902606,55,0.6179775280898876,"observed channels, physical fragment envelopes only",full library molecular channel occupancy inverse square-root weight,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_fragment_co2"", ""sn2_ketene_loss"", ""sn2_loss""]"
4,PA 24:0_16:1,PE O-16:1_24:0,0.6635490118197916,0.8182998649583536,PE O-16:1_24:0,0.8182998649583536,False,False,"[""PE O-16:1_24:0"", ""PA 24:0_18:2"", ""PA 24:0_18:1"", ""PA 18:0_24:0"", ""PE 22:0_16:1""]","[0.6635490118197916, 0.543948137677057, 0.4923462410474458, 0.48868273096632103, 0.3665256872851275]","[0.8182998649583536, 0.7673379922692053, 0.7643293498418609, 0.6953179255023703, 0.4346460821807465]","[""PE O-16:1_24:0"", ""PA 24:0_18:1"", ""PA 24:0_18:2"", ""PA 18:0_24:0"", ""PA 16:0_24:0""]",0.543948137677057,0.6635490118197916,6,0.07792207792207792,"observed channels, physical fragment envelopes only",full library molecular channel occupancy inverse square-root weight,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
5,PA 18:0_22:0,PE O-16:1_22:0,0.6213615603989318,0.5788300830466656,PE O-16:1_22:0,0.5788300830466656,False,False,"[""PE O-16:1_22:0"", ""PA 22:0_18:2"", ""PA 22:0_18:1"", ""PA 22:0_20:4"", ""PA 18:0_22:5""]","[0.6213615603989318, 0.5415994986008866, 0.5386261372096554, 0.5215614728458184, 0.5214127320903782]","[0.5788300830466656, 0.566567668889479, 0.5357942913319077, 0.491363549686738, 0.4852456544771542]","[""PE O-16:1_22:0"", ""PA 16:0_24:0"", ""PA 22:0_18:1"", ""PA 22:0_20:4"", ""PA 22:0_18:2""]",0.5415994986008866,0.6213615603989318,20,0.24390243902439024,"observed channels, physical fragment envelopes only",full library molecular channel occupancy inverse square-root weight,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
6,PA 18:0_22:1,PA 18:0_22:5,0.7758194411708825,0.5598728343555721,PA 18:0_22:5,0.5598728343555721,False,False,"[""PA 18:0_22:5"", ""PA 18:0_24:6"", ""PA 18:0_24:5"", ""PA 18:0_22:4"", ""PA 18:0_24:1""]","[0.7758194411708825, 0.7722345517885361, 0.7551610990156528, 0.7150362893575573, 0.6908250487723174]","[0.5598728343555721, 0.5136560760607001, 0.45766457456381227, 0.4556266692992886, 0.4545782181160041]","[""PA 18:0_22:5"", ""PA 18:0_22:4"", ""PA 16:0_24:1"", ""PA 18:0_22:3"", ""PA 18:0_22:2""]",0.7758194411708825,0.6614615429706313,43,0.4056603773584906,"observed channels, physical fragment envelopes only",full library molecular channel occupancy inverse square-root weight,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
7,PA 18:0_22:2,PA 18:0_22:5,0.7712444308493049,0.5992875301357469,PA 18:0_22:5,0.5992875301357469,False,False,"[""PA 18:0_22:5"", ""PA 18:0_24:6"", ""PA 18:0_24:5"", ""PA 18:0_22:4"", ""PA 18:0_22:3""]","[0.7712444308493049, 0.7702435227471095, 0.7612248719237221, 0.7404576900341825, 0.7046424685321188]","[0.5992875301357469, 0.5792830352876565, 0.5542686731739289, 0.5434803408705999, 0.5397062405212998]","[""PA 18:0_22:5"", ""PA 18:0_22:4"", ""PA 18:0_22:3"", ""PA 20:1_20:1"", ""PA 18:1_22:1""]",0.7712444308493049,0.6420167249664349,43,0.4056603773584906,"observed channels, physical fragment envelopes only",full library molecular channel occupancy inverse square-root weight,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
8,PA 18:0_22:3,PA 18:0_22:5,0.782277028588244,0.6759221657579949,PA 18:0_22:5,0.6759221657579949,False,False,"[""PA 18:0_22:5"", ""PA 18:0_24:6"", ""PA 18:0_24:5"", ""PA 18:0_22:4"", ""PA 18:0_24:4""]","[0.782277028588244, 0.7819168397352139, 0.7744336628846923, 0.7672405667687336, 0.7148983295636763]","[0.6759221657579949, 0.6740334081163506, 0.5944338789563204, 0.5542686731739289, 0.5351337614514878]","[""PA 18:0_22:5"", ""PA 18:0_22:4"", ""PE 18:0_22:3"", ""PA 18:0_22:2"", ""PE O-18:2_22:3""]",0.782277028588244,0.6533092909868461,50,0.49019607843137253,"observed channels, physical fragment envelopes only",full library molecular channel occupancy inverse square-root weight,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
9,PA 18:0_22:4,PA 18:0_22:5,0.8645836859516153,0.7759334423434318,PA 18:0_22:5,0.7759334423434318,False,False,"[""PA 18:0_22:5"", ""PA 18:0_24:6"", ""PA 18:0_24:5"", ""PA 18:0_24:4"", ""PA 18:0_22:3""]","[0.8645836859516153, 0.8588434578716734, 0.8494703959720835, 0.7795499350363475, 0.7672405667687336]","[0.7759334423434318, 0.6740334081163506, 0.592128184286062, 0.5792830352876565, 0.5609638391275517]","[""PA 18:0_22:5"", ""PA 18:0_22:3"", ""PA 18:0_24:5"", ""PA 18:0_22:2"", ""PE 18:0_22:4""]",0.8645836859516153,0.7250301209661094,63,0.6774193548387096,"observed channels, physical fragment envelopes only",full library molecular channel occupancy inverse square-root weight,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_fragment_co2"", ""sn2_ketene_loss"", ""sn2_loss""]"
10,PA 18:0_22:5,PA 18:0_24:6,0.9345818688979602,0.7759334423434318,PA 18:0_22:4,0.5735651469689927,False,False,"[""PA 18:0_24:6"", ""PA 18:0_24:5"", ""PA 18:0_22:4"", ""PA 18:0_24:4"", ""PA 18:0_24:1""]","[0.9345818688979602, 0.9196802827803352, 0.8645836859516153, 0.8327498556645309, 0.830530450992341]","[0.7759334423434318, 0.6759221657579949, 0.6444405787590706, 0.6079888779980923, 0.5992875301357469]","[""PA 18:0_22:4"", ""PA 18:0_22:3"", ""PA 18:0_24:5"", ""PG 18:0_18:0"", ""PA 18:0_22:2""]",0.9345818688979602,0.7805572277787509,43,0.3805309734513274,"observed channels, physical fragment envelopes only",full library molecular channel occupancy inverse square-root weight,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_fragment_co2"", ""sn2_ketene_loss"", ""sn2_loss""]"
11,PA 18:0_24:0,PA 18:0_22:5,0.631332926057621,0.7640239720395776,PE O-16:1_24:0,0.27802722705933236,False,False,"[""PA 18:0_22:5"", ""PA 18:0_24:6"", ""PA 18:0_24:5"", ""PA 18:0_22:4"", ""PA 18:0_24:1""]","[0.631332926057621, 0.6293835561279383, 0.6291506399001485, 0.5928685779595624, 0.5774206524813931]","[0.7640239720395776, 0.6953179255023703, 0.6825413045733351, 0.6533007328817999, 0.36320283321880825]","[""PE O-16:1_24:0"", ""PA 24:0_16:1"", ""PA 24:0_18:1"", ""PA 24:0_18:2"", ""PA 16:0_24:0""]",0.631332926057621,0.520419522207006,43,0.43,"observed channels, physical fragment envelopes only",full library molecular channel occupancy inverse square-root weight,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
