severity,dataset_id,lipid_name,K,replicate,state,X_hat,rho_zero,cone_isolation,max_fragment_cosine,collective_gain,abundance_multiplier,full_spectral_change,fragment_spectral_change,achieved_dropout_rate
MILD,MILD__HOLD_R1_K050,PA 18:0_22:2,50,R1,filter_loss,0.016280349617732195,0.0,0.27393752390511106,0.8394493239810369,0.36260158405766385,0.6170676298438253,0.0031467721020281836,0.001963496628401451,0.05333333333333334
MILD,MILD__HOLD_R1_K050,PA 18:0_22:4,50,R1,retained_true,0.011082224707146012,2.2384048409275023e-05,0.18925162859522815,0.8691673191165914,0.31323723028330897,0.5,0.0052424423533639075,0.005220284092495531,0.04878048780487805
MILD,MILD__HOLD_R1_K050,PA 18:0_24:1,50,R1,retained_true,0.014230274139888786,2.066023636131461e-05,0.3334734584306543,0.8793255202210899,0.22349976674487387,0.689110922829001,0.0006864036053716438,0.000725562654723011,0.05970149253731343
MILD,MILD__HOLD_R1_K050,PA 18:1_22:1,50,R1,retained_true,0.027037651458308068,9.688742215438164e-05,0.46175873097333114,0.9022714644699661,0.2905844069806663,0.7303443264893795,0.00041288798704874896,0.0012335033041256382,0.05405405405405406
MILD,MILD__HOLD_R1_K050,PA 20:0_20:4,50,R1,filter_loss,0.0066063670465129525,2.672196006916701e-06,0.1645114953783594,0.8957566529041909,0.3424625013635971,0.7303443264893795,0.0275152521851324,0.02927579501551658,0.0449438202247191
MILD,MILD__HOLD_R1_K050,PA 20:1_20:1,50,R1,filter_loss,0.008205468275603369,3.215347267579833e-06,0.4231895167566119,0.9753576763078726,0.3291536211973855,0.5,0.0010118669186879314,0.002037990335239992,0.06818181818181818
MILD,MILD__HOLD_R1_K050,PA 20:1_22:1,50,R1,retained_true,0.027929541473225006,0.00013128731616497146,0.48292710886676304,0.8982874947005188,0.22073574264275386,0.7802037075442214,0.018562907982432097,0.02491796284808878,0.07894736842105263
MILD,MILD__HOLD_R1_K050,PA 22:1_18:2,50,R1,retained_true,0.049611011517268794,0.00032287513521275134,0.3672416022212644,0.8804726866933393,0.42728280324989093,2.0,0.006605096516895115,0.006326827710238514,0.02702702702702703
MILD,MILD__HOLD_R1_K050,PA 22:1_20:2,50,R1,retained_true,0.04154374302651746,0.0003413803182512855,0.43337633237958284,0.8789327040599717,0.27097424872123554,2.0,0.0080624691981116,0.011981980213494614,0.04
MILD,MILD__HOLD_R1_K050,PA 22:1_20:3,50,R1,retained_true,0.015489621250886956,9.4935801190156e-05,0.47201880717776407,0.8266719825061805,0.24944586960093668,0.5340342571614348,0.010869264824328262,0.012492854571788947,0.05194805194805195
MILD,MILD__HOLD_R1_K050,PA 22:6_22:6,50,R1,retained_true,0.052788080827182386,0.0025215283959954056,0.5618631902016936,0.691000163096786,0.18635717808006635,2.0,0.00917253164779075,0.009477089595620991,0.0625
MILD,MILD__HOLD_R1_K050,PC 14:0_20:4,50,R1,retained_true,0.024843619377382,0.0007240128838356756,0.6036768381098416,0.7745273553735048,0.030942368542241527,0.7802037075442214,0.0018490512821154326,0.0018224172135786754,0.012048192771084338
MILD,MILD__HOLD_R1_K050,PC 16:1_18:1,50,R1,retained_true,0.04831776867093783,4.6791699396910564e-05,0.3710824945274597,0.6900215947371616,0.3528311199198995,2.0,0.005740128810954093,0.005740337720885114,0.06521739130434782
MILD,MILD__HOLD_R1_K050,PC 20:0_14:1,50,R1,filter_loss,0.018858170284672675,1.1803156405601597e-05,0.593367589246976,0.47707361889437966,0.2851238976272237,0.6170676298438253,0.002188794125086768,0.0021900445777822686,0.05333333333333334
MILD,MILD__HOLD_R1_K050,PE 16:0_22:1,50,R1,retained_true,0.03134065783963725,3.0134354793949973e-05,0.20454583643989277,0.8508967724619106,0.32715941021570594,1.4538436095675817,0.0026095936024855826,0.0026208471119697485,0.09259259259259259
MILD,MILD__HOLD_R1_K050,PE 16:0_22:2,50,R1,retained_true,0.025309739107499833,4.2483496007997045e-05,0.1886425381510025,0.8572487991575071,0.3301179135196991,2.0,0.0008072029675337822,0.0008077406273154786,0.017543859649122806
MILD,MILD__HOLD_R1_K050,PE 16:0_24:5,50,R1,filter_loss,0.01481336933159009,1.6004753764612977e-05,0.21271686018449112,0.9348240213453116,0.1546244672974381,0.5,0.001921353681188731,0.001875379517050746,0.06896551724137931
MILD,MILD__HOLD_R1_K050,PE 16:1_22:1,50,R1,retained_true,0.027050248408161306,2.5533586244276686e-05,0.29634414058106057,0.6962164662208943,0.4407404219699385,1.0000000000000002,0.00808124486543349,0.008570132244739348,0.05660377358490566
MILD,MILD__HOLD_R1_K050,PE 16:1_22:4,50,R1,filter_loss,0.002435520194614692,0.0,0.11707440620301834,0.9872300880237134,0.16084900498979865,0.5,0.0007842304184302318,0.0007842322844462402,0.031746031746031744
MILD,MILD__HOLD_R1_K050,PE 17:0_20:0,50,R1,filter_loss,0.014269359718087129,7.470564105484627e-06,0.2698075638945543,0.9206618024583055,0.26327938903853587,0.5,0.001887741959508804,0.0017402936546969672,0.07936507936507936
MILD,MILD__HOLD_R1_K050,PE 17:0_22:6,50,R1,retained_true,0.034389324940503736,0.000371595546520253,0.31244709118745745,0.8271838267520604,0.30433218821543645,2.0,0.017611707508774055,0.01838682715755835,0.12121212121212122
MILD,MILD__HOLD_R1_K050,PE 18:3_20:4,50,R1,filter_loss,0.00882232491257398,1.0555882347216024e-05,0.15717262060050777,0.9796724074104938,0.3020809046376558,0.5,0.006280647038709897,0.0062955661135006835,0.04054054054054054
MILD,MILD__HOLD_R1_K050,PE 20:1_20:3,50,R1,retained_true,0.01505450310493902,2.295217566430358e-05,0.15409170574418976,0.9673598800301968,0.13448997604329319,1.2101381550740857,0.000491030613383403,0.000468651826536548,0.03773584905660377
MILD,MILD__HOLD_R1_K050,PE 20:3_20:3,50,R1,filter_loss,0.024426517752255832,1.6794154392520692e-05,0.11972298568219342,0.9884825101246301,0.06004173901205881,1.0000000000000002,0.00048032041794177083,0.0004712716755622681,0.0
MILD,MILD__HOLD_R1_K050,PE 22:0_16:1,50,R1,retained_true,0.049820251005491326,0.00044420742223988505,0.4791490094759039,0.8206488603123235,0.1992356350010589,2.0,0.004476879868959838,0.005136088122938753,0.0392156862745098
MILD,MILD__HOLD_R1_K050,PE O-16:0_22:4,50,R1,filter_loss,0.02161838913497431,1.5050116255099619e-05,0.21233553953653375,0.9788297262879938,0.0525446422437508,2.0,0.0004060403474748231,0.00041840104713342097,0.0
MILD,MILD__HOLD_R1_K050,PE O-16:0_22:5,50,R1,retained_true,0.04416252887356885,0.00026224697349980464,0.2748935194643735,0.9595548171321114,0.1397678816901211,2.0,0.00038394355007931313,0.0002964901617497073,0.0
MILD,MILD__HOLD_R1_K050,PE O-16:1_24:0,50,R1,retained_true,0.013811873890062946,0.00012368707238144235,0.6719956962672089,0.7350890401757907,0.07613711984283755,0.5,0.001067432937777557,0.0006814609391118109,0.03571428571428571
MILD,MILD__HOLD_R1_K050,PE O-16:1_24:5,50,R1,filter_loss,0.029449551085810835,1.187541353283428e-05,0.34567378912555613,0.9348240213453116,0.021667538356373084,0.8939526432607221,0.0025190919169711945,0.0024780282091372285,0.05555555555555555
MILD,MILD__HOLD_R1_K050,PE O-18:0_20:2,50,R1,filter_loss,0.009383566394335366,9.716098667971249e-06,0.24588669439016053,0.9868742659860326,0.06594469017151477,0.689110922829001,0.0019601050080191307,0.0005584465070473943,0.0
MILD,MILD__HOLD_R1_K050,PE O-18:0_22:3,50,R1,filter_loss,0.007569015512705137,5.581391618691536e-06,0.17092763078541914,0.9848176901850096,0.13210834735563867,0.8939526432607221,0.0008456161502210513,0.0005473704997376316,0.125
MILD,MILD__HOLD_R1_K050,PE O-18:1_20:3,50,R1,filter_loss,0.02232117560093485,2.1784220310415044e-18,0.17248031845796863,0.9828895828332406,0.04325030597265456,0.5,0.001199120320281133,0.001173666927543504,0.09090909090909091
