dataset_id,base_dataset_id,severity,candidate_index,candidate_id,lipid_name,X_hat,rho_zero,rho_zero_status,raw_solver_reported,candidate_truth,molecular_truth,reportable_truth,cone_isolation,max_fragment_cosine,max_full_cosine,lipid_class,collective_gain,pair_id,unit_id,role,spectral_score_CAL,spectral_score_HOLD,joint_hard_score,joint_easy_score,fragment_cosine,fragment_support_jaccard,full_cosine,parent_cosine,base_template_id,realized_spatial_correlation,abundance_multiplier,K,replicate,split
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,0,PA-H__0075,PA 16:0_24:0,0.001703053619896044,9.495252327488645e-07,COMPUTED,True,False,False,False,0.729606198131629,0.7748217721703936,0.44170172724713597,PA,0.16755576280234685,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,1,PA-H__0076,PA 16:0_24:1,0.014392348688550738,1.3579914541972986e-05,COMPUTED,True,True,True,True,0.5504804076642431,0.883487638633687,0.6654546118919494,PA,0.19595790828137805,,28,singleton_control,,,,,,,,,267,,2.0,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,2,PA-H__0079,PA 16:0_24:4,4.997755221814005e-10,,NOT_COMPUTED,False,True,True,True,0.2223063465458067,0.9171280506076233,0.9158818256178151,PA,0.17914163452145218,B7_U47_U115,115,spectral_hard_spatial_high,0.7173612479474549,0.7259195402298851,0.7173612479474549,0.7259195402298851,0.04535930018705837,0.1794871794871795,0.024301483593310788,0.0,139,0.9927947904947065,0.6170676298438253,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,3,PA-H__0080,PA 16:0_24:5,0.0041039532606934595,0.0,COMPUTED,True,False,False,False,0.22923411741411742,0.9171280506076233,0.9158818256178151,PA,0.17221386365314145,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,4,PA-H__0100,PA 24:0_16:1,0.0,,NOT_COMPUTED,False,False,False,False,0.47172636833494863,0.7350890401757907,0.6635490105932277,PA,0.2764064477750978,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,5,PA-H__0117,PA 18:0_22:0,0.01134234515492293,8.768692970331374e-07,COMPUTED,True,True,True,True,0.3381799302246325,0.7789494468002593,0.6213615663357793,PA,0.44534403487199864,B3_U27_U48,48,spectral_easy_spatial_high,0.1769326765188834,0.1802495894909688,0.1769326765188834,0.1802495894909688,0.0,0.0,0.0,0.0,94,0.9945180924853226,1.4538436095675817,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,6,PA-H__0118,PA 18:0_22:1,0.008150618045596799,2.054047157249851e-08,COMPUTED,True,False,False,False,0.3291126428847987,0.854010491337717,0.7758194394971382,PA,0.30184234544507127,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,7,PA-H__0119,PA 18:0_22:2,0.004073474299869013,1.2596479071758064e-06,COMPUTED,True,True,True,True,0.27393752390511106,0.8394493239810369,0.7712444256096473,PA,0.36260158405766385,B1_U95_U125,125,spectral_hard_spatial_low,0.7451149425287357,0.8009901477832513,0.7451149425287357,0.8009901477832513,0.0753246954491252,0.3018867924528302,0.08214312893707955,0.11319967071044161,133,-0.2514853335695852,0.6170676298438253,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,8,PA-H__0120,PA 18:0_22:3,0.0011783966598145467,1.6082440983254795e-05,COMPUTED,True,False,False,False,0.26685411549166754,0.7994055605507371,0.7822770241404187,PA,0.35607658490927657,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,9,PA-H__0121,PA 18:0_22:4,0.004480899768528481,0.0,COMPUTED,True,True,True,True,0.18925162859522815,0.8691673191165914,0.8645836840369737,PA,0.31323723028330897,B2_U43_U133,133,spectral_hard_spatial_high,0.896121510673235,0.8493119868637111,0.8493119868637111,0.896121510673235,0.7986035117425145,0.41,0.7525372430626872,0.0,321,0.9964097830464953,0.5,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,10,PA-H__0122,PA 18:0_22:5,4.9981508108100904e-05,,NOT_COMPUTED,False,False,False,False,0.13936661280823676,0.9374908882297373,0.9345818680853585,PA,0.21638151697754526,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,11,PA-H__0124,PA 18:0_24:0,0.0,,NOT_COMPUTED,False,False,False,False,0.5363596171784565,0.7271532361366108,0.6313329291237251,PA,0.239152299302559,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,12,PA-H__0125,PA 18:0_24:1,0.0057226122229835155,1.4185333090932127e-06,COMPUTED,True,True,True,True,0.3334734584306543,0.8793255202210899,0.8305304488322932,PA,0.22349976674487387,B2_U43_U133,43,spectral_hard_spatial_high,0.896121510673235,0.8493119868637111,0.8493119868637111,0.896121510673235,0.7986035117425145,0.41,0.7525372430626872,0.0,321,0.9964097830464953,0.689110922829001,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,13,PA-H__0128,PA 18:0_24:4,0.003046283983534151,0.0,COMPUTED,True,False,False,False,0.19065424453428229,0.8372950741847822,0.832749852444057,PA,0.362995178164235,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,14,PA-H__0129,PA 18:0_24:5,0.0015323509236203343,0.0,COMPUTED,True,True,True,True,0.1609179673339711,0.923167578011941,0.919680283971754,PA,0.23175005437601462,B4_U64_U141,141,spectral_hard_spatial_high,0.7657668308702792,0.7451904761904762,0.7451904761904762,0.7657668308702792,0.04936673211304598,0.11450381679389313,0.04704824842945059,0.0,223,0.9958667516089417,0.5,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,15,PA-H__0130,PA 18:0_24:6,0.01831451632769869,7.485422109259787e-09,COMPUTED,True,True,True,True,0.1641748706562144,0.9374908882297373,0.9345818680853585,PA,0.19157325912956763,B6_U16_U150,150,spectral_hard_spatial_high,0.8016518883415436,0.8704121510673235,0.8016518883415436,0.8704121510673235,0.5488475814049499,0.40594059405940597,0.548527025020696,0.42361641273681017,267,0.9952910414028423,2.0,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,16,PA-H__0140,PA 22:0_18:1,0.0011111381892046062,0.0,COMPUTED,True,False,False,False,0.3671639070922606,0.7050099452951126,0.6113032030767289,PA,0.42423257628894034,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,17,PA-H__0141,PA 18:1_22:1,0.012240743304273863,2.1136498595534692e-18,COMPUTED,True,True,True,True,0.46175873097333114,0.9022714644699661,0.6587714343940032,PA,0.2905844069806663,B1_U59_U80,59,spectral_hard_spatial_low,0.679983579638752,0.7071789819376026,0.679983579638752,0.7071789819376026,0.031175949260026654,0.07692307692307693,0.6587714343940032,0.9999999999999994,302,-0.29199834044192785,0.7303443264893795,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,18,PA-H__0142,PA 18:1_22:2,0.00033523663052286063,,NOT_COMPUTED,False,False,False,False,0.40366716929733215,0.9248799886279087,0.7196223801768364,PA,0.2906984620156129,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,19,PA-H__0143,PA 18:1_22:3,0.014561059795842027,1.0381526000949747e-06,COMPUTED,True,True,True,True,0.26035456632127724,0.8639124793194024,0.8037028144235677,PA,0.33467634555443054,,92,singleton_control,,,,,,,,,381,,2.0,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,20,PA-H__0144,PA 18:1_22:4,0.0072457667093371305,1.0236543236956322e-06,COMPUTED,True,True,True,True,0.23118051955905902,0.7349039762795926,0.7251473077432745,PA,0.45741325188581883,B3_U62_U111,111,spectral_hard_spatial_low,0.6664384236453202,0.7616584564860427,0.6664384236453202,0.7616584564860427,0.1231108935077214,0.23478260869565218,0.10404094948269774,0.0,234,-0.19504475027495594,2.0,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,21,PA-H__0147,PA 24:0_18:1,9.053876830421043e-05,,NOT_COMPUTED,False,False,False,False,0.43680623844895256,0.7371891580184492,0.6602623564184665,PA,0.3142287944867514,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,22,PA-H__0148,PA 18:1_24:1,0.00735779901979394,1.0568249297767346e-18,COMPUTED,True,True,True,True,0.4394175718623714,0.7742897189559598,0.6708976550037268,PA,0.30213238364332506,B6_U39_U54,54,spectral_easy_spatial_low,0.1792183908045977,0.5071083743842364,0.1792183908045977,0.5071083743842364,0.00026369558372042073,0.10227272727272728,0.00020200331760154445,0.0,287,-0.12485182569342557,0.5,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,23,PA-H__0151,PA 18:1_24:4,0.006774201595203828,1.461211573310785e-05,COMPUTED,True,True,True,True,0.2590661626283403,0.770029563231097,0.7660750464750595,PA,0.383684973635327,B5_U81_U105,105,spectral_hard_spatial_high,0.7206288998357964,0.7457405582922824,0.7206288998357964,0.7457405582922824,0.08345586956895017,0.05442176870748299,0.08266818987422711,0.12074806658205942,349,0.996704226409377,0.5,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,24,PA-H__0152,PA 18:1_24:5,0.010524261660567653,2.3674314560328405e-06,COMPUTED,True,False,False,False,0.2403872498285696,0.8248123478924629,0.8214327614182942,PA,0.3299181231679643,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R1,HOLD
MODERATE__HOLD_R1_K175,HOLD_R1_K175,MODERATE,25,PA-H__0153,PA 18:1_24:6,0.019573994632600993,7.969857531961511e-06,COMPUTED,True,True,True,True,0.25854770171004793,0.8317569743542244,0.8214327614182942,PA,0.311757671286486,,113,singleton_control,,,,,,,,,293,,2.0,175,R1,HOLD
